monkey,array,chan,label,rowNum,colNum
C,LeftS1Area2,1,elec78,10,3
C,LeftS1Area2,2,elec88,10,2
C,LeftS1Area2,3,elec68,10,4
C,LeftS1Area2,4,elec58,10,5
C,LeftS1Area2,5,elec56,8,5
C,LeftS1Area2,6,elec48,10,6
C,LeftS1Area2,7,elec57,9,5
C,LeftS1Area2,8,elec38,10,7
C,LeftS1Area2,9,elec47,9,6
C,LeftS1Area2,10,elec28,10,8
C,LeftS1Area2,11,elec37,9,7
C,LeftS1Area2,12,elec27,9,8
C,LeftS1Area2,13,elec36,8,7
C,LeftS1Area2,14,elec18,10,9
C,LeftS1Area2,15,elec45,7,6
C,LeftS1Area2,16,elec17,9,9
C,LeftS1Area2,17,elec46,8,6
C,LeftS1Area2,18,elec8,1,10
C,LeftS1Area2,19,elec35,7,7
C,LeftS1Area2,20,elec16,8,9
C,LeftS1Area2,21,elec24,6,8
C,LeftS1Area2,22,elec7,8,10
C,LeftS1Area2,23,elec26,8,8
C,LeftS1Area2,24,elec6,7,10
C,LeftS1Area2,25,elec25,7,8
C,LeftS1Area2,26,elec5,6,10
C,LeftS1Area2,27,elec15,7,9
C,LeftS1Area2,28,elec4,5,10
C,LeftS1Area2,29,elec14,6,9
C,LeftS1Area2,30,elec3,4,10
C,LeftS1Area2,31,elec13,5,9
C,LeftS1Area2,32,elec2,3,10
C,LeftS1Area2,33,elec77,9,3
C,LeftS1Area2,34,elec67,9,4
C,LeftS1Area2,35,elec76,8,3
C,LeftS1Area2,36,elec66,8,4
C,LeftS1Area2,37,elec75,7,3
C,LeftS1Area2,38,elec65,7,4
C,LeftS1Area2,39,elec74,6,3
C,LeftS1Area2,40,elec64,6,4
C,LeftS1Area2,41,elec73,5,3
C,LeftS1Area2,42,elec54,6,5
C,LeftS1Area2,43,elec63,5,4
C,LeftS1Area2,44,elec53,5,5
C,LeftS1Area2,45,elec72,4,3
C,LeftS1Area2,46,elec43,5,6
C,LeftS1Area2,47,elec62,4,4
C,LeftS1Area2,48,elec55,7,5
C,LeftS1Area2,49,elec61,3,4
C,LeftS1Area2,50,elec44,6,6
C,LeftS1Area2,51,elec52,4,5
C,LeftS1Area2,52,elec33,5,7
C,LeftS1Area2,53,elec51,3,5
C,LeftS1Area2,54,elec34,6,7
C,LeftS1Area2,55,elec41,3,6
C,LeftS1Area2,56,elec42,4,6
C,LeftS1Area2,57,elec31,3,7
C,LeftS1Area2,58,elec32,4,7
C,LeftS1Area2,59,elec21,3,8
C,LeftS1Area2,60,elec22,4,8
C,LeftS1Area2,61,elec11,3,9
C,LeftS1Area2,62,elec23,5,8
C,LeftS1Area2,63,elec10,2,9
C,LeftS1Area2,64,elec12,4,9
C,LeftS1Area2,65,elec96,9,1
C,LeftS1Area2,66,elec87,9,2
C,LeftS1Area2,67,elec95,8,1
C,LeftS1Area2,68,elec86,8,2
C,LeftS1Area2,69,elec94,7,1
C,LeftS1Area2,70,elec85,7,2
C,LeftS1Area2,71,elec93,6,1
C,LeftS1Area2,72,elec84,6,2
C,LeftS1Area2,73,elec92,10,1
C,LeftS1Area2,74,elec83,5,2
C,LeftS1Area2,75,elec91,4,1
C,LeftS1Area2,76,elec82,4,2
C,LeftS1Area2,77,elec90,3,1
C,LeftS1Area2,78,elec81,3,2
C,LeftS1Area2,79,elec89,2,1
C,LeftS1Area2,80,elec80,2,2
C,LeftS1Area2,81,elec79,1,2
C,LeftS1Area2,82,elec71,3,3
C,LeftS1Area2,83,elec69,1,3
C,LeftS1Area2,84,elec70,2,3
C,LeftS1Area2,85,elec59,1,4
C,LeftS1Area2,86,elec60,2,4
C,LeftS1Area2,87,elec50,2,5
C,LeftS1Area2,88,elec49,1,5
C,LeftS1Area2,89,elec40,2,6
C,LeftS1Area2,90,elec39,1,6
C,LeftS1Area2,91,elec30,2,7
C,LeftS1Area2,92,elec29,1,7
C,LeftS1Area2,93,elec19,1,8
C,LeftS1Area2,94,elec20,2,8
